category,questionType,questionText,correctAnswersCount,answer1,answer2,answer3,answer4,correct1,correct2,correct3,correct4
SAP CAP,SingleSelect,What does CAP stand for in SAP?,1,Cloud Application Programming Model,Cloud Application Platform,Computer Application Program,Central Application Processing,true,false,false,false
SAP CAP,MultiSelect,Which programming languages are supported by SAP CAP?,2,Node.js,Java,Python,C++,true,true,false,false
SAP CAP,SingleSelect,What is CDS in SAP CAP?,1,Core Data Services,Cloud Data Storage,Central Database System,Custom Data Structure,true,false,false,false
SAP CAP,SingleSelect,Which protocol does SAP CAP use for service exposure?,1,OData,REST only,SOAP,GraphQL only,true,false,false,false
SAP CAP,MultiSelect,What are the main components of SAP CAP?,3,CDS models,Service definitions,Event handlers,Hardware drivers,true,true,true,false
SAP CAP,SingleSelect,What is the purpose of @sap/cds package?,1,Core CAP framework for Node.js,Database driver,UI framework,Testing tool,true,false,false,false
SAP CAP,SingleSelect,Which database is primarily used with SAP CAP?,1,SAP HANA,MySQL,PostgreSQL,MongoDB,true,false,false,false
SAP CAP,MultiSelect,What are the CAP service types?,3,Application services,Remote services,Database services,Network services,true,true,true,false
SAP CAP,SingleSelect,What is the file extension for CDS models?,1,.cds,.cap,.model,.service,true,false,false,false
SAP CAP,SingleSelect,Which command initializes a new CAP project?,1,cds init,cap create,npm init cap,cds new,true,false,false,false
SAP CAP,MultiSelect,What are the CAP deployment targets?,3,Cloud Foundry,Kyma,Local,Desktop only,true,true,true,false
SAP CAP,SingleSelect,What is the purpose of srv folder in CAP projects?,1,Contains service definitions,Stores images,Holds configuration,Manages users,true,false,false,false
SAP CAP,SingleSelect,Which annotation is used for defining associations in CDS?,1,Association,Relation,Link,Reference,true,false,false,false
SAP CAP,MultiSelect,What are the CAP data types?,3,String,Integer,Boolean,Hardware,true,true,true,false
SAP CAP,SingleSelect,What is the purpose of db folder in CAP projects?,1,Contains data models,Stores logs,Holds images,Manages users,true,false,false,false
SAP CAP,SingleSelect,Which command runs a CAP application locally?,1,cds watch,cds run,npm start,cap serve,true,false,false,false
SAP CAP,MultiSelect,What are the CAP authentication methods?,3,Basic authentication,OAuth,JWT,No authentication,true,true,true,false
SAP CAP,SingleSelect,What is @readonly annotation used for in CAP?,1,To make entities read-only,To hide data,To encrypt data,To delete data,true,false,false,false
SAP CAP,SingleSelect,Which tool is used for CAP development?,1,SAP Business Application Studio,Visual Studio,Eclipse,NetBeans,true,false,false,false
SAP CAP,MultiSelect,What are the CAP event types?,3,CREATE,READ,UPDATE,COMPILE,true,true,true,false
SAP CAP,SingleSelect,What is the purpose of package.json in CAP projects?,1,Defines project dependencies and scripts,Stores data,Manages users,Configures database,true,false,false,false
SAP CAP,SingleSelect,Which annotation is used for input validation in CAP?,1,@assert,@validate,@check,@verify,true,false,false,false
SAP CAP,MultiSelect,What are the CAP service handler types?,2,Before handlers,After handlers,During handlers,Never handlers,true,true,false,false
SAP CAP,SingleSelect,What is the purpose of mta.yaml file?,1,Multi-Target Application descriptor,Database configuration,User management,Network settings,true,false,false,false
SAP CAP,SingleSelect,Which command deploys a CAP application?,1,cf push,cds deploy,npm deploy,cap upload,true,false,false,false
SAP CAP,MultiSelect,What are the CAP authorization concepts?,3,Roles,Privileges,Restrictions,Open access,true,true,true,false
SAP CAP,SingleSelect,What is @cds.persistence.skip annotation used for?,1,To skip database persistence,To delete records,To hide fields,To encrypt data,true,false,false,false
SAP CAP,SingleSelect,Which CAP feature enables draft handling?,1,@odata.draft.enabled,@draft.mode,@enable.draft,@draft.active,true,false,false,false
SAP CAP,MultiSelect,What are the CAP testing frameworks?,2,Jest,Mocha,JUnit,TestNG,true,true,false,false
SAP CAP,SingleSelect,What is the purpose of .cdsrc.json file?,1,CAP project configuration,Database schema,User credentials,Network settings,true,false,false,false
SAP CAP,SingleSelect,Which annotation defines a composition in CDS?,1,Composition,Association,Aggregation,Collection,true,false,false,false
SAP CAP,MultiSelect,What are the CAP data modeling concepts?,3,Entities,Types,Aspects,Hardware,true,true,true,false
SAP CAP,SingleSelect,What is @mandatory annotation used for?,1,To make fields required,To hide fields,To encrypt fields,To delete fields,true,false,false,false
SAP CAP,SingleSelect,Which CAP feature enables localization?,1,i18n support,Translation service,Language pack,Locale manager,true,false,false,false
SAP CAP,MultiSelect,What are the CAP service annotations?,3,@readonly,@insertonly,@requires,@hardware,true,true,true,false
SAP CAP,SingleSelect,What is the purpose of using keyword in CDS?,1,To import definitions from other files,To declare variables,To define functions,To create loops,true,false,false,false
SAP CAP,SingleSelect,Which command generates database artifacts?,1,cds deploy,cds build,cds generate,cds create,true,false,false,false
SAP CAP,MultiSelect,What are the CAP query capabilities?,3,Filtering,Sorting,Pagination,Random selection,true,true,true,false
SAP CAP,SingleSelect,What is @Core.Computed annotation used for?,1,To mark calculated fields,To hide fields,To encrypt fields,To delete fields,true,false,false,false
SAP CAP,SingleSelect,Which CAP feature enables multi-tenancy?,1,@sap/cds-mtx,@sap/multi-tenant,@sap/tenant-manager,@sap/mtx-service,true,false,false,false
SAP CAP,MultiSelect,What are the CAP error handling mechanisms?,3,Try-catch blocks,Error messages,Logging,Ignoring errors,true,true,true,false
SAP CAP,SingleSelect,What is the purpose of aspect in CDS?,1,To define reusable model fragments,To create tables,To manage users,To configure network,true,false,false,false
SAP CAP,SingleSelect,Which annotation enables field-level authorization?,1,@restrict,@authorize,@secure,@protect,true,false,false,false
SAP CAP,MultiSelect,What are the CAP transaction management features?,2,Automatic rollback,Commit handling,Manual commit only,No transactions,true,true,false,false
SAP CAP,SingleSelect,What is @cds.autoexpose annotation used for?,1,To automatically expose entities,To hide entities,To delete entities,To encrypt entities,true,false,false,false
SAP CAP,SingleSelect,Which CAP feature enables messaging?,1,SAP Event Mesh integration,Email service,SMS service,Fax service,true,false,false,false
